"","Artists","Submissions"
"21","Chris Wadsworth",155
"1","MONICO B. FALLER",83
"58","Kim Crosland",38
"50","Andy Law",31
"52","Martin Hermans",30
"131","Sam Stradwick",27
"22","Robert Delaveau",24
"5","Cameron Gibb",14
"79","William Hindmarsh",14
"16","Paul Gallagher",13
"85","Gareth Gardner",13
"17","andrew jamieson",12
"61","Chaosart",10
"69","Oliver Li",10
"64","Mari Pettersson",9
"12","GERARDO CESAR IBARRA VALADEZ",8
"95","James John Webster",8
"134","Daniel Crayford and Leon Cayford",8
"172","326 Collective",8
"11","Andrew Sutton",7
"55","Su Jin Lau",7
"72","Alan T",7
"120","Matthew Hill",7
"13","Steve Juergens",6
"29","Martin Caie",6
"68","Stephen Petterson",6
"78","Kieran Breen",6
"20","Bryce gerhard Matthäus",5
"111","Dave Brown",5
"115","MR LISIMAKA NUKU",5
"116","Dene Andre",5
"145","Adrian Tyler",5
"401","Chen-Ta Wu",5
"7","Brian Cham and James Fitzmaurice",4
"19","sam stradwick",4
"122","Cheryl Chong",4
"126","Jimmy Lugang Wu",4
"182","Jim Fisher",4
"216","John Harrison",4
"253","Zhimin Yang ",4
"285","Gerbrand van Melle",4
"313","Josh Munn",4
"314","Shaun Lee",4
"342","Andrew Kennedy",4
"6","Ian Blackford",3
"14","William Sidnam",3
"15","Jim Martin",3
"27","Joel Fletcher",3
"31","Michael Ashford",3
"49","Nick Thompson",3
"98","Travis Cunningham",3
"99","Otis Frizzell",3
"101","Oliver Wall",3
"102","Shane Lynch",3
"107","peter james blomfield",3
"110","Mike Kessell",3
"123","Steven McIntosh-Dona",3
"139","Vic Burneo",3
"152","Adrian Stone",3
"171","John and Michelle Hotham",3
"185","Lukas Kelly",3
"213","Dave Sauvage",3
"219","Julie Sprott",3
"226","Jim Woolrich",3
"242","Peter Malcouronne",3
"308","Gordon Moir",3
"339","Mark Harrison",3
"348","Paul Hartigan",3
"386","Doug Martin",3
"411","Mike Davison",3
"463","Ross Stewart",3
"3","Melody Ullrich",2
"8","GAN",2
"26","Mia Hansson",2
"34","Robert Spurgeon",2
"38","GARY TURTON",2
"40","Mark Tyrrell",2
"45","Jamie Bell",2
"47","Ruby Ullrich",2
"59","Loren Francis Robb",2
"66","James Dean",2
"74","Douglas Carrie",2
"82","Dominic Smith",2
"89","Malcolm White",2
"93","Briana Cleverley",2
"96","Chris Parker",2
"113","Simon Chesterman",2
"129","Jacob&#039;m Aniterea",2
"138","Matthew Harris",2
"147","Sarah Plank",2
"153","Warren Smith",2
"154","Garth James Falconer",2
"155","brendan kavanagh",2
"160","Alan Pang",2
"164","Michael Morgan",2
"167","Don Ferrari",2
"170","Barry McDonald",2
"191","stephen ellis",2
"205","Ross MacDiarmid",2
"244","James Smith",2
"260","Kyle Lockwood",2
"268","Marcel Denize",2
"270","Me",2
"278","Peter Reid",2
"287","Nell May",2
"289","Stephen Wilson",2
"292","Daniel J Rodgers",2
"300","Brendon Sweeney",2
"304","Dick Frizzell",2
"309","Paul Baylis",2
"310","Glen Snow",2
"318","William Hung",2
"319","Roy Good",2
"321","Chris Keall",2
"322","George Webb",2
"327","Alex Moulton",2
"361","Hamish Ross",2
"369","Roger Smith",2
"375","Graeme Burtt",2
"394","Glenn Johnstone",2
"408","Amelia Ullrich",2
"417","John Parlane",2
"432","Steven Lee",2
"434","Laulie",2
"459","Dave Paul",2
"462","Phillip Bannister",2
"465","David Steward",2
"495","Michael Smythe",2
"2","Lionel Barrie Taylor",1
"4","Cassandra Bates Glover",1
"9","Joshua Poon",1
"10","Justin T. Wood",1
"18","Carole Van Weede",1
"23","Jordan Zheng ",1
"24","Douglas Fanning",1
"25","Luke T",1
"28","Ocean 2 by Geoff Lamb",1
"30","Peter Atford",1
"32","Nyah Ballantyne",1
"33","Ken Griffin",1
"35","Allan Lightbourne",1
"36","Lindy Mary Fisher",1
